common_name,species_name,alpha_code,genus,species,gbif_key,t_phylum,t_class,t_order,t_family,grouping,ndow_code
threadfin shad,Dorosoma petenense,,Dorosoma,petenense,2413553,Chordata,Actinopterygii,Clupeiformes,Clupeidae,misc_fish,357
American gizzard shad,Dorosoma cepedianum,,Dorosoma,cepedianum,2413541,Chordata,Actinopterygii,Clupeiformes,Clupeidae,misc_fish,1274
bridgelip sucker,Catostomus columbianus,,Catostomus,columbianus,2359027,Chordata,Actinopterygii,Cypriniformes,Catostomidae,ostariophysian,197
chiselmouth,Acrocheilus alutaceus,,Acrocheilus,alutaceus,2367726,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,4
chub (unknown),Gila sp.,,Gila,sp.,2360060,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,469
common carp,Cyprinus carpio,,Cyprinus,carpio,4286975,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,315
desert sucker,Catostomus clarkii,,Catostomus,clarkii,2359050,Chordata,Actinopterygii,Cypriniformes,Catostomidae,ostariophysian,194
fathead minnow,Pimephales promelas,,Pimephales,promelas,2367742,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,812
golden shiner,Notemigonus crysoleucas,,Notemigonus,crysoleucas,2363714,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,688
goldfish,Carassius auratus,,Carassius,auratus,4286942,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,165
Lahontan redside,Richardsonius egregius,,Richardsonius,egregius,2362394,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,997
Lahontan speckled dace,Rhinichthys osculus robustus,,Rhinichthys,osculus,4287011,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,986
largescale sucker,Catostomus macrocheilus,,Catostomus,macrocheilus,2359034,Chordata,Actinopterygii,Cypriniformes,Catostomidae,ostariophysian,199
Little Colorado spinedace,Lepidomeda vittata,,Lepidomeda,vittata,2361905,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,564
mountain sucker,Catostomus platyrhynchus,,Catostomus,platyrhynchus,2359047,Chordata,Actinopterygii,Cypriniformes,Catostomidae,ostariophysian,200
northern pikeminnow,Ptychocheilus oregonensis,,Ptychocheilus,oregonensis,5205686,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,879
red shiner,Cyprinella lutrensis,,Cyprinella,lutrensis,5207666,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,309
redside shiner,Richardsonius balteatus,,Richardsonius,balteatus,2362399,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,996
roundtail chub,Gila robusta,,Gila,robusta,2360128,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,464
Sacramento blackfish,Orthodon microlepidotus,,Orthodon,microlepidotus,5205970,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,731
speckled dace,Rhinichthys osculus,,Rhinichthys,osculus,2359791,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,980
speckled dace (unknown),Rhinichthys sp.,,Rhinichthys,sp.,2359788,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,993
sucker (unknown),Catostomus sp.,,Catostomus,sp.,2359013,Chordata,Actinopterygii,Cypriniformes,Catostomidae,ostariophysian,201
Tahoe sucker,Catostomus tahoensis,,Catostomus,tahoensis,2359045,Chordata,Actinopterygii,Cypriniformes,Catostomidae,ostariophysian,203
tui chub,Gila bicolor,,Gila,bicolor,2360085,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,447
Utah chub,Gila atraria,,Gila,atraria,2360064,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,446
Virgin River roundtail chub,Gila robusta seminuda,,Gila,robusta,4286909,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,466
Snake River speckled dace,Rhinichthys osculus ssp. ?,,Rhinichthys,osculus,2359791,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,1270
Colorado River speckled dace,Rhinichthys osculus yarrowi,,Rhinichthys,osculus,2359791,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,1271
Gila chub,Gila intermedia,,Gila,intermedia,2360136,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,1275
headwater chub,Gila nigra,,Gila,nigra,2360137,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,1276
bluehead sucker,Catostomus discobolus,,Catostomus,discobolus,4286866,Chordata,Actinopterygii,Cypriniformes,Catostomidae,ostariophysian,1283
Moapa speckled dace,Rhinichthys osculus moapae,,Rhinichthys,osculus,6167273,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,983
Ash Meadows speckled dace,Rhinichthys osculus nevadensis,,Rhinichthys,osculus,6167271,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,984
Wall Canyon sucker,Catostomus sp. 1,,Catostomus,sp.,2359013,Chordata,Actinopterygii,Cypriniformes,Catostomidae,ostariophysian,202
Independence Valley tui chub,Gila bicolor isolata,,Gila,bicolor,6167052,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,ostariophysian,450
